"SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
9.13571,13.266862,11.073378,8.111498,10.419259,10.6682,6.046165,17.801401
28.159507,17.871292,23.927474,19.101987,32.511396,27.128049,24.862511,22.437639
0,0,0,0.076214,0.295651,0.08173,0,0
175.264934,143.796199,157.128032,117.169991,144.220048,132.015753,180.412889,224.914835
91.359152,89.447858,87.460672,67.120819,100.456539,84.329789,87.422248,84.107745
9.041103,8.953893,7.425297,10.539932,8.113717,12.053096,7.580379,14.137259
2.885449,9.508702,5.700598,9.338932,3.33715,7.650529,1.852207,13.754591
0,0.036655,0,0,0.064222,0.865174,0.033346,0.173814
49.76816,51.877256,53.087877,39.709763,67.87039,42.441095,35.692346,33.64317
0,0,0,0,0,0,0,0
98.347917,61.775975,91.892985,68.638191,120.709643,77.746258,114.98392,81.615898
0,0,0,0,0,0.111638,0,0
17.144136,22.829396,5.352528,8.476029,10.524815,19.423657,15.788708,16.638047
2.113592,2.002263,1.886387,2.590089,1.489506,1.356323,1.710959,2.537692
29.868356,39.806842,26.381828,36.264915,22.236149,33.597946,28.197436,51.587397
4.286124,4.591718,4.404661,5.416752,2.525309,2.676008,4.43381,5.604822
0,0.845071,1.974293,0.351138,1.174007,0.745896,0,0.862694
0,0,1.579098,0,0,0.780606,0,0.735205
0,0.302817,0,0,0.277782,0.227057,0,0.829434
0,1.336274,0,0,0,0,0,0
0,0,0,0,0,0,0,0.524931
1.071138,0.791006,2.137181,1.005165,1.167069,1.387076,2.045467,1.114136
0,0,0,0,0,0,0,0
3.603109,2.873238,0.761679,0.975878,0.774548,0.953725,1.790908,1.444604
0.505157,0,0.152541,0,0,0.377492,0.284164,0
0,0,0,0,0,0,0,0
1.965651,1.55959,1.701576,2.056832,2.899887,1.156766,2.592918,0.184845
0,0,0,0,0,0,0,0
0.852587,1.571136,1.646715,2.012538,1.546093,0.909387,1.287862,1.099778
1.291377,1.032816,1.031932,1.306997,0.994182,1.158661,1.101854,0.923096
0,0,0,0,0,0,0,0
19.628985,23.286361,43.424767,20.03434,47.479205,43.568882,37.223685,34.895367
0,0,0.145476,0,0.29558,0.313515,0.393121,0
0,0,0,0.379369,0,0,0,0.14055
10.018368,18.295305,18.211111,26.039958,24.448082,21.840562,20.473177,10.754564
0,0,0,0,0.642737,0,0,0
4.196476,3.916187,1.543614,3.146179,0,3.993321,1.56078,1.357142
0.4013,0,0.055512,0.096076,0.480163,0.835314,0.075954,0.742103
0.13559,0.143109,0.520375,0,0.116609,0,0.158022,0
0.128197,0.166098,0.328273,0.380996,0.170006,2.307964,0.371339,0.550704
0.089852,6.683848,0,3.590882,0,0.98696,0,3.927845
0.161284,4.144354,0,2.142351,0,0.854522,0.103056,1.581476
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15.214051,4.77465,8.731481,3.317406,5.897596,6.033657,19.541802,9.071983
6.179714,2.807849,5.217241,1.033325,4.25314,2.466601,7.172642,2.974064
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.209854,0,0,0,0.09763,0.076836,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
8.577988,8.500862,1.593583,0.789358,3.82898,1.927141,8.321278,9.696732
5.044386,2.602354,2.644278,1.735062,2.482733,2.883361,3.820201,3.338525
0,0,0,0,0,0,0,0
4.827007,8.194192,4.701988,8.164103,6.127828,8.201653,5.172872,12.465773
144.617388,129.32197,157.055003,105.425056,181.767109,149.966546,112.237708,108.993783
1273.035051,1158.050339,926.850786,909.119562,778.809882,771.900858,898.908488,833.199191
1.494027,0.881932,1.712713,2.156428,1.631189,1.340178,1.736447,2.101463
61.096307,52.117349,51.774071,44.589987,64.289848,59.86001,59.183432,53.366321
0,0,0,0,0,0,0,0
0.10632,0.061768,0.031511,0,0.154448,0.037091,0,0.039666
0.782133,0,0,0,0,0,0,0
0,0.070386,0.18951,0.148666,0.231534,0.685368,0.171955,0.196666
1.112029,0,11.285049,0,8.945813,9.241154,2.440256,2.158689
0,0.10074,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.909368,1.841485,2.196435,3.495293,1.615082,2.806262,2.556018,3.197283
1.351663,0.416807,1.190013,0.791934,1.769628,1.215521,1.309537,0.926285
0,0,0.026549,0,0.134739,0.090004,0.038399,0.068537
0,0,0,0,3.178468,4.106459,0,1.894593
0.993774,0,0.35112,0,2.369562,1.114631,0,0.220603
0,0,0,0,0,0,0,0
0.87746,0,2.611207,0,3.183499,2.83483,1.34128,0.410234
7.53583,9.253694,17.957804,8.98024,15.110472,11.343882,14.378947,13.002333
0,0,0,0,0,0,0,0
0,0,0,0.117806,0,0,0,0
0,0,0.645607,0,0,0,0,0
61.409584,38.23604,89.890013,32.017635,126.29843,80.407859,86.44315,80.269898
0,0,0.623153,0,0.673397,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0.026804,0.015601,0,0,0
0.645447,0.291534,0,1.283239,0,0.848182,0,0.845243
0.588407,0.445108,0.508316,0.479104,0.536191,0.478286,0.614597,0.61337
9.410842,7.756013,10.316642,10.07833,8.039247,5.5944,11.218188,8.069423
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.431791,0,0,0,1.250492,0,0,0
0,0,0.031918,0.051226,0,0.398734,0,0
0.415938,0.201577,0.525392,0.264026,0.490014,0.417677,0.306747,0.20132
0,0,0,0,0,0,0,0
0.481853,0.955383,0.399898,0.465016,0.797832,0.956694,0.681341,1.129726
0,0,0,0,0,0.165278,0.253778,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0.103984,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
8.549317,10.409632,7.00462,9.585359,7.097908,9.599541,13.166286,7.237653
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16.614142,17.502347,7.194227,6.544148,6.422636,6.161092,12.205693,16.627861
13.130243,12.896359,6.183645,6.395866,4.662755,6.416271,10.792155,12.497395
0,0,0,0,0,0,0,0
0,0.13161,0,0.176221,0,0.171936,0.138835,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15.796694,7.524817,12.848029,7.70093,24.694492,13.612714,13.026178,7.553382
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
28.918068,45.71588,32.529072,24.542951,29.516348,35.672282,24.029165,40.449479
24.751583,11.272386,10.409559,41.912596,19.954385,19.089027,19.547186,30.51879
16.593939,10.673662,15.686931,15.331868,11.498449,12.814088,13.850038,12.178816
3.946297,6.704075,4.968659,5.834451,2.346385,2.32848,3.730554,5.715338
8.008597,5.505246,9.173996,5.26401,10.240042,6.128016,9.91825,9.75582
20.118102,14.558973,20.845987,15.374279,17.927278,11.881852,20.971195,3.122207
13.046115,11.629559,9.652843,12.830236,11.46327,11.201096,12.50336,11.629363
20.158376,15.755344,16.106554,14.048569,14.508879,16.059253,15.169201,14.700676
0,0.321258,0,0,0,0,0,0
9.813691,14.378101,15.526844,11.228172,11.004979,13.311145,12.782421,11.875259
12.690552,25.796902,18.27106,35.997962,12.368122,21.193349,22.581186,44.027775
7.265408,7.684622,7.726749,10.305285,8.809279,8.607266,9.75192,8.443589
82.762779,70.185215,73.750867,76.897284,72.35095,79.400313,121.803361,93.979951
0.056926,0.058144,3.462842,5.384899,2.032103,10.651918,2.23873,1.607274
0,0,0,0,0,0,0,0
27.500424,20.803643,27.953814,22.690008,34.091401,23.868612,31.461675,23.562937
24.938823,16.107024,17.851392,11.044044,15.406523,9.693572,16.995509,11.093139
53.977377,64.753617,61.817525,81.129256,43.430075,43.852691,72.149144,78.861767
12.838795,15.07066,9.171174,5.842403,7.39784,10.031754,7.50364,8.403968
35.356933,33.009529,31.036718,36.467912,36.264699,37.141986,36.079511,33.848893
8.883245,11.395688,9.014071,6.775984,7.125373,5.302826,12.598456,7.732599
15.155953,14.454016,13.671257,15.55924,17.706681,13.96623,13.621507,17.883107
52.894448,35.452764,45.628572,39.135798,52.306498,36.852457,46.89581,34.416404
0.138773,0.110232,0.522564,1.111534,0.2048,0.180478,0.4386,0.687287
1.140451,5.028973,4.934948,3.849885,5.55672,5.79997,3.409027,4.149188
0,0,0,0,0,0,0,0
12.990852,8.091916,5.728365,6.485571,9.497404,7.047563,12.97133,9.00264
0.509522,1.618527,2.491866,1.635492,3.220906,2.978629,1.227332,2.980236
0,0,0,0,0,0,0,0
0,0,0,0,0,0.04561,0,0.069398
1.605815,0.64317,1.22914,1.137511,1.141166,0.753629,1.328462,1.181536
1.934318,3.490418,3.353182,6.365142,3.02874,4.338416,1.612992,3.522894
0,0.095869,0.197488,0.263266,0.28716,0.083704,0.428018,0
77.69114,63.603533,74.907997,54.776661,78.97959,55.333799,80.896261,58.444209
0,0,0,0,0,0,0,0
0.288387,0,0,0,0,0,0.33266,0.303602
87.255267,65.737863,78.348386,66.402282,54.318084,29.430561,103.050161,113.162138
44.669506,21.58585,60.668904,12.690751,59.356469,33.007289,112.050873,27.492123
83.476078,86.836004,58.702825,60.435079,64.365669,74.620261,68.514376,66.911604
0,0,0,0,0,0,0,0
8.749521,11.857054,16.051915,14.264244,13.673901,21.39234,14.845484,13.45278
53.84067,51.585647,52.391594,48.643698,46.44567,45.611908,44.639889,52.612262
0,0,0,0,0,0,0,0
4.363682,6.349365,3.102853,4.229475,0.764836,3.914379,3.437291,6.129028
0.97412,0.772941,0.264242,0.439729,0.832675,0.121531,1.234681,0.184778
0.85384,0.459169,1.348781,0.246756,2.303874,0.390743,0.602301,0.594911
2.280715,1.513037,3.2359,1.899633,3.21023,1.860415,3.390854,2.144706
12.538551,27.307642,10.937147,19.178891,13.196013,30.139354,13.776246,19.538511
0.314695,1.625852,0.419376,0.365646,0.159541,0.132963,0.286868,0.944155
0,0,0,0,0,0,0.13128,0
31.294856,30.716957,34.102986,32.494197,30.295719,32.50306,36.689525,30.802957
26.144149,25.552397,25.775778,21.252437,25.429976,22.498631,28.626644,25.139941
25.318649,26.901117,24.209407,27.049067,23.653183,25.350871,27.859292,29.443392
11.81961,12.595175,11.752077,8.539661,12.068334,9.896291,11.978834,10.476504
16.824503,13.65798,18.374082,11.704492,18.819088,12.122349,12.48665,11.838055
6.272299,5.830343,6.376239,8.231462,7.283934,5.670322,4.525212,7.850283
0,0,0,0,0,0,0,0.799015
76.834263,72.490297,78.98224,86.933974,82.478042,85.786761,72.697886,78.616044
0.687445,0,0.256234,0,0,0,2.096836,0
0,0,1.390586,0,0,0,0,0
2.590719,1.899955,1.71811,1.28092,2.707715,2.517714,2.759716,1.590203
0,0,0,0,0,0,0,0.088858
0.601914,0.504572,0.679191,0.356156,0.897685,0.71905,1.185403,0.41627
0,0,0.05789,0,0,0,0.15828,0
0.149146,0,0,0,0,0,0,0
0.377818,0.101352,0.274274,0.13614,0.476885,0.279023,0.607716,0.328736
0.757994,1.052604,0.813202,0.821519,0.700459,0.652391,0.792316,1.151295
0.12907,0,0.077646,0.13377,0,0.13098,0.105866,0.140774
0.039508,0.018625,0.014713,0.026461,0.043576,0.028148,0.020673,0
0.273134,0,0,0.286283,0,0.320155,0,0
13.0676,15.640596,14.683097,13.574045,19.241015,17.104444,14.057784,12.719965
9.280222,10.004382,9.566762,9.001788,11.992125,10.914263,7.230969,5.316013
14.886687,37.189073,14.240635,48.604914,18.271565,44.639089,15.270863,63.805151
68.351845,44.306759,74.632382,53.54888,56.432343,37.59159,54.018091,41.391358
17.069468,10.24918,9.678311,4.536546,26.492107,17.200852,14.755008,13.664436
2.103123,3.001126,1.421223,0,2.328785,1.195204,3.925659,3.465529
0,0.574744,0.274625,0.234977,0.275262,0,0.338762,0.821166
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.174288,0,0.356049,0.244165,0,0,0.312231,0
0,0,0,0,0,0,0,0
0,0,0.098479,0,0,0,0,0
0,0,0,0,0,0,0,0
5.911452,20.245488,6.035306,24.673192,3.485975,12.39903,8.776259,27.934092
17.153464,19.172077,16.30893,23.441428,18.442638,18.979734,15.327852,19.82401
9.203092,6.58361,8.945262,8.495908,11.562291,9.69101,8.172801,8.503687
0,0,0,0,0,0,0,0
177.618842,310.643192,306.987873,700.198356,220.207191,614.309871,209.952394,381.867788
8.516331,11.947201,13.101421,8.024717,9.326411,23.927566,9.437362,13.088597
0,0,0,0,0,0.021989,0,0
0,0,0,0,0,0,0,0
2145.609604,2618.501461,2623.888213,3564.41629,1975.471897,3673.649273,2491.409612,3482.372637
2.888428,15.227379,7.483911,4.565405,7.406001,91.325583,3.093272,18.059213
25.62929,24.708663,20.021449,22.253662,24.413007,24.501923,20.906382,19.573049
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0.056022,0,0,0
0.108838,0.117111,0,0,0,0.229909,0.124043,0
0,0,0,0,0,0,0,0
115.33046,132.513911,148.410318,148.47067,147.378673,316.025926,162.118044,198.24127
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.06894,0.064819
58.470376,49.332617,77.902346,55.086149,58.410331,176.906054,63.595366,109.245307
22.181036,28.842223,23.597152,29.517787,28.635137,26.254655,33.601517,25.516577
94.484791,106.195854,90.296417,96.407993,89.031416,87.392242,87.876648,99.904218
31.346419,29.043196,33.905843,29.023798,27.400431,31.442586,35.03469,36.022466
112.689419,119.845979,90.980468,125.889284,83.034009,104.791149,106.001571,115.447327
3.21765,0,7.710814,0,9.598908,18.839366,20.94653,2.398462
1.772698,2.926972,2.724645,2.662065,2.786146,3.175695,3.330287,3.505112
0.247636,0,0.028502,0,0,0.182212,0.284886,0.149694
2.070858,1.584224,2.719941,0.935956,1.589893,2.417948,2.514866,2.438463
14.2916,14.115374,13.281647,15.720046,11.783,12.093498,14.516366,11.811426
13.771602,11.121827,14.302725,11.375273,13.962282,7.247709,13.547962,13.991858
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.572914,3.069724,3.652575,1.569295,2.488617,2.873253,4.251692,3.130171
24.995023,3.442264,23.856988,2.540503,25.521935,27.644932,24.323515,17.884566
11.929369,14.46096,11.749507,15.417943,11.88648,16.127716,13.378439,15.367124
0.263675,0.122148,0.25921,0.082169,0.230924,0.133335,0.263129,0.075948
1.691049,4.015594,5.225902,4.681461,3.96638,3.615477,4.392999,5.340458
0.829483,0.548204,0.563976,0.768365,0.744422,0.693452,0.582312,0.714718
9.464247,22.367751,7.475636,5.336217,7.80277,8.007055,6.556973,9.809917
18.336942,16.050334,14.10276,16.315574,13.003663,19.006711,18.401192,19.861139
0,0,0,0,0,0,0,0
24.877165,23.303431,21.056459,21.949369,37.398216,8.991104,25.633334,17.285913
9.31589,9.672346,14.135216,15.499264,12.488545,13.548598,11.94963,13.015238
0,0.262976,0.80455,0,0,0,0,0.21669
4.792945,4.291805,5.973217,3.954655,12.482831,7.442532,5.071553,3.725588
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3.914754,4.183297,6.890924,5.612894,5.878431,4.305903,7.663862,3.247327
1.571959,2.091549,16.206326,2.374181,19.004702,13.156564,5.746207,16.684206
0.942731,0.435811,0.708138,0.660977,0.542766,0.620919,0.677255,0.25564
24.562557,6.194321,29.327488,7.706401,28.134465,8.217848,15.029321,4.705226
50.640095,47.298288,43.91559,42.177859,41.289889,38.556124,46.208141,49.690377
8.405818,10.016058,9.622619,20.425953,9.999801,11.162548,10.577131,22.765244
0,0,0,0,0,0,0,0
7.894657,8.353718,8.340238,14.567543,8.325467,8.6553,7.639806,12.150743
0,0,0,0,0,0,0,0
0,0,0.026042,0,0,0.044146,0,0
0,0,0,0.50775,0,0,0.521095,0
0.063696,0.13789,0.119533,0.18552,0.145375,0.109704,0.240598,0.147806
0.948526,1.081118,14.812423,12.590817,4.347645,2.924093,11.763927,18.469554
0.024015,0.074233,0.232842,0,0,0.958399,0.183078,0.059946
0.206135,0,0,0,0,0,0.033644,0
0,0,0,0,0,0,0,0
0.791192,1.002501,0,0.846571,0.264524,0.362423,0,0.734972
87.839247,77.617721,79.439277,63.840044,36.129821,55.24767,69.357527,57.16434
0,0,0,0,0,0,0,0
0,0.428171,0,0.326132,0.581231,0.486031,0.454278,0
51.21999,40.858541,41.478018,41.396986,48.034992,44.12387,65.547415,58.565359
0.32659,0.200749,0.11641,0.13483,0.036802,0.065698,0.425464,0.201488
3.235217,32.232015,4.547866,19.940943,4.466048,31.308166,5.42637,35.72056
11.187234,8.352565,9.16183,3.494094,9.947318,6.866001,10.74477,9.060674
9.390945,8.542341,21.477122,14.84022,10.838128,18.269632,11.923211,10.822429
3.821135,2.860514,2.014148,3.708792,1.509758,2.097963,3.413979,4.05019
16.772917,3.292695,16.02573,2.401829,21.072142,6.29777,15.422803,1.826959
15.255983,31.436971,20.804895,22.210163,16.178289,12.10617,16.630302,30.635
0,0.035072,0,0,0.043109,0,0,0
0.066749,0.105166,0.077491,0.077174,0.056115,0.559489,0,0.297696
0,0,0,0,0,0,0,0
0.345496,0,0,0,0,0,0,0
46.987426,81.464681,52.117368,68.445678,50.222929,76.160248,53.785468,86.89185
0,0,0,0,0,0,0,0
1.624334,2.782016,4.515904,4.460319,1.513516,2.572376,3.090315,5.647354
0.073476,0.121986,0.063892,0.060565,0.13422,0.112502,0.125184,0.11677
4.658016,46.875975,20.553433,72.591113,13.51067,27.74111,7.784239,61.185175
1.743192,1.633438,2.044104,1.389214,2.282824,1.839852,1.368548,0.737959
16.351321,14.379671,24.621939,36.139265,13.576442,30.074414,20.864356,38.034767
105.283206,153.427229,130.274879,84.775433,178.232053,239.663281,73.859426,74.382333
0.588038,0.486042,0.219569,0.303066,0.222593,0.489301,0.449383,0.568111
17.698449,9.353622,38.553382,17.542152,17.805358,6.201968,37.553625,22.231682
0,0,0,0,0,0,0,0
0.098149,0.052722,0.061036,0.13339,0.07219,0.025905,0.209945,0.210537
40.469685,74.283417,46.894754,88.690407,28.940513,42.288985,63.523413,126.846585
12.953766,12.29052,16.700925,21.03996,9.241382,12.059057,19.428423,24.277587
0,0,0,2.542726,0.318677,1.128263,0,0.697893
0.184869,0,0.864932,1.690051,0.22395,0.671473,1.285079,0.444261
33.921502,30.082381,23.207176,5.96529,24.047734,28.094203,22.511377,31.241104
2.426039,15.447714,13.46625,54.419052,12.791216,69.960368,8.368972,51.304654
0,0,0,0.014317,0,0,0,0
7.151887,5.582917,7.854262,8.400204,7.566538,6.952537,7.456077,5.393251
1.474704,0.676486,1.57709,0.892573,1.799793,0.866496,2.120114,0.554462
2.070369,0.323063,0.186913,1.442687,0.984709,0,0.249023,2.563361
1.9077,0,0.775927,0.093162,0.529736,1.468943,0.762976,2.151682
2.32401,8.377052,4.079058,5.584531,3.070305,4.157375,7.966896,7.08881
4.757868,6.057415,4.454462,5.743385,4.899458,4.670743,2.569811,6.115407
14.301268,2.947686,2.469294,0.13339,1.572552,0.300851,3.751159,0.473205
0.063561,0.055227,0.26694,0.267048,0.237634,0.236384,0,0.197773
0.304007,0,0,0,0,0,0,0
20.648915,10.191044,13.685944,16.391612,20.724589,13.48034,13.420293,30.886813
3.051485,1.221271,2.777834,0.659941,3.000007,0.954782,2.613486,0.32714
0,0,0.326023,0.517031,0.251655,0.29932,0,0.638341
9.684916,8.514415,10.727376,5.978694,13.777009,9.090518,13.778805,9.70894
0,0.477232,3.074237,3.580935,1.892199,2.378923,4.676465,3.749221
0.311103,0,0,0,0.269889,0,0.503927,0
15.107783,16.409372,16.849752,14.167045,17.12205,22.93052,22.710093,20.912719
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
118.597452,115.993988,129.60145,135.814244,125.232507,142.393484,137.073514,142.110903
0,0.009692,0,0,0,0,0,0
66.33106,52.478002,69.826542,45.50797,75.128288,58.508595,74.57699,73.447512
0,0,0,0,0.060215,0,0,0
0,0,0,0,0,0,0,0
0.772295,2.606606,11.774339,3.300706,18.85001,11.253541,12.780004,20.629622
14.228122,9.937181,8.372846,6.273939,9.620823,9.178207,13.836479,8.853504
0.028678,0,0.011892,0.020723,0.012056,0.009891,0.049073,0
11.258839,5.833216,9.01066,6.406182,12.0417,8.512786,16.501462,7.834383
0.05602,0.044762,0.024695,0,0,0.026288,0.015842,0
